Type command to execute:
1. Send data (s)
2. Receive data (r)
Command: FFT 511 = 256197, freq = 22006
FFT 489 = 87618.1, freq = 21059
FFT 480 = 96833.2, freq = 20671
FFT 477 = 174145, freq = 20542
FFT 476 = 191366, freq = 20499
FFT 470 = 198554, freq = 20241
FFT 463 = 219777, freq = 19939
FFT 460 = 262130, freq = 19810
FFT 459 = 266901, freq = 19767
FFT 458 = 285029, freq = 19724
FFT 456 = 359228, freq = 19638
FFT 455 = 383532, freq = 19595
FFT 454 = 444471, freq = 19552
FFT 452 = 497375, freq = 19466
FFT 451 = 551519, freq = 19422
FFT 450 = 670216, freq = 19379
FFT 449 = 826921, freq = 19336
FFT 448 = 940730, freq = 19293
FFT 447 = 1.29974e+06, freq = 19250
FFT 446 = 1.74627e+06, freq = 19207
FFT 445 = 3.11597e+06, freq = 19164
FFT 444 = 8.60281e+06, freq = 19121
FFT 443 = 9.42619e+06, freq = 19078
FFT 511 = 77793.4, freq = 22006
FFT 504 = 100896, freq = 21705
FFT 502 = 143005, freq = 21619
FFT 473 = 145992, freq = 20370
FFT 462 = 178120, freq = 19896
FFT 460 = 195635, freq = 19810
FFT 459 = 228648, freq = 19767
FFT 453 = 283517, freq = 19509
FFT 452 = 334529, freq = 19466
FFT 451 = 373773, freq = 19422
FFT 450 = 462912, freq = 19379
FFT 449 = 609292, freq = 19336
FFT 448 = 934458, freq = 19293
FFT 447 = 1.66722e+06, freq = 19250
FFT 446 = 1.10601e+07, freq = 19207
FFT 511 = 106370, freq = 22006
FFT 495 = 111691, freq = 21317
FFT 486 = 112036, freq = 20930
FFT 485 = 172128, freq = 20887
FFT 446 = 196621, freq = 19207
FFT 436 = 267106, freq = 18776
FFT 433 = 289884, freq = 18647
FFT 426 = 307524, freq = 18346
FFT 425 = 324179, freq = 18303
FFT 424 = 406145, freq = 18260
FFT 422 = 408979, freq = 18174
FFT 421 = 486039, freq = 18130
FFT 420 = 502244, freq = 18087
FFT 419 = 620192, freq = 18044
FFT 418 = 787795, freq = 18001
FFT 417 = 991306, freq = 17958
FFT 416 = 1.33724e+06, freq = 17915
FFT 415 = 2.07425e+06, freq = 17872
FFT 414 = 5.01175e+06, freq = 17829
FFT 413 = 1.1109e+07, freq = 17786
FFT 511 = 70578.7, freq = 22006
FFT 510 = 110564, freq = 21963
FFT 509 = 123443, freq = 21920
FFT 501 = 129086, freq = 21576
FFT 464 = 164094, freq = 19982
FFT 441 = 172056, freq = 18992
FFT 439 = 209567, freq = 18906
FFT 432 = 233017, freq = 18604
FFT 430 = 328755, freq = 18518
FFT 428 = 342076, freq = 18432
FFT 425 = 355840, freq = 18303
FFT 424 = 460596, freq = 18260
FFT 423 = 475135, freq = 18217
FFT 422 = 564865, freq = 18174
FFT 421 = 618005, freq = 18130
FFT 420 = 829934, freq = 18087
FFT 419 = 1.03194e+06, freq = 18044
FFT 418 = 1.47278e+06, freq = 18001
FFT 417 = 2.57719e+06, freq = 17958
FFT 416 = 9.54127e+06, freq = 17915
Data: 10010011
FFT 511 = 45109, freq = 22006
FFT 510 = 48653.3, freq = 21963
FFT 507 = 94313.2, freq = 21834
FFT 426 = 102444, freq = 18346
FFT 421 = 158305, freq = 18130
FFT 420 = 266948, freq = 18087
FFT 419 = 526847, freq = 18044
FFT 418 = 1.15762e+07, freq = 18001
FFT 511 = 47120.6, freq = 22006
FFT 510 = 93956.3, freq = 21963
FFT 505 = 121421, freq = 21748
FFT 481 = 144216, freq = 20714
FFT 462 = 145195, freq = 19896
FFT 459 = 164797, freq = 19767
FFT 456 = 227546, freq = 19638
FFT 454 = 243104, freq = 19552
FFT 453 = 308933, freq = 19509
FFT 452 = 362131, freq = 19466
FFT 451 = 516942, freq = 19422
FFT 450 = 820829, freq = 19379
FFT 449 = 1.85179e+06, freq = 19336
FFT 448 = 1.09101e+07, freq = 19293
FFT 511 = 135730, freq = 22006
FFT 510 = 161152, freq = 21963
FFT 509 = 182473, freq = 21920
FFT 504 = 248246, freq = 21705
FFT 492 = 296743, freq = 21188
FFT 488 = 300808, freq = 21016
FFT 479 = 351231, freq = 20628
FFT 475 = 356070, freq = 20456
FFT 472 = 385751, freq = 20327
FFT 471 = 390092, freq = 20284
FFT 466 = 461763, freq = 20068
FFT 465 = 486712, freq = 20025
